Exp1:
Number of clients: from 1 to 11
Number of entries: 10
Number of updates per transaction: 4
Time: 10s

1: Transactions TOTAL:331047, OK:331047, -> 100.0 % 
3: Transactions TOTAL:139518, OK:37806, -> 27.097578807035653 % 
4: Transactions TOTAL:139187, OK:37466, -> 26.917743754804686 % 

1: Transactions TOTAL:139309, OK:37861, -> 27.17771285415874 % 
2: Transactions TOTAL:139382, OK:37906, -> 27.195764158930135 % 
3: Transactions TOTAL:139115, OK:37238, -> 26.767782050821264 % 
4: Transactions TOTAL:139049, OK:36817, -> 26.477716488432137 % 

1: Transactions TOTAL:136267, OK:36668, -> 26.908936132739402 % 
2: Transactions TOTAL:136322, OK:36690, -> 26.914217807837325 % 
3: Transactions TOTAL:136063, OK:36747, -> 27.007342187075103 % 
4: Transactions TOTAL:136372, OK:36791, -> 26.978411990731235 % 

1: Transactions TOTAL:134199, OK:36035, -> 26.851913948688143 % 
2: Transactions TOTAL:133944, OK:36379, -> 27.159857851042226 % 
3: Transactions TOTAL:134112, OK:36418, -> 27.154915294679075 % 
4: Transactions TOTAL:134021, OK:35677, -> 26.620455003320377 % 

1: Transactions TOTAL:126036, OK:33713, -> 26.748706718715287 % 
2: Transactions TOTAL:125807, OK:34481, -> 27.407854888837665 % 
3: Transactions TOTAL:125597, OK:33944, -> 27.026123235427598 % 
4: Transactions TOTAL:125703, OK:34462, -> 27.415415702091437 % 

1: Transactions TOTAL:132163, OK:35546, -> 26.89557591761688 % 
2: Transactions TOTAL:132256, OK:35481, -> 26.827516331962254 % 
3: Transactions TOTAL:132173, OK:35641, -> 26.96541653741687 % 
4: Transactions TOTAL:131966, OK:35653, -> 27.01680735947138 % 

20 entries
1: Transactions TOTAL:118831, OK:32257, -> 27.145273539732898 % 
2: Transactions TOTAL:118515, OK:31763, -> 26.800826899548582 % 
3: Transactions TOTAL:118396, OK:32293, -> 27.27541470995642 % 
4: Transactions TOTAL:118654, OK:32145, -> 27.09137492204224 % 

50 entries
1: Transactions TOTAL:103995, OK:28749, -> 27.644598297995095 % 
2: Transactions TOTAL:104147, OK:29286, -> 28.119869031273105 % 
3: Transactions TOTAL:104331, OK:28909, -> 27.708926397714965 % 
4: Transactions TOTAL:104048, OK:28809, -> 27.688182377364292 % 



Exp3:
Number of clients: 4
Number of entries: 10
Number of updates per transaction: from 1 to 11
Time: 10s

1: Transactions TOTAL:307865, OK:100020, -> 32.48826596072954 % 
2: Transactions TOTAL:307915, OK:100505, -> 32.64050143708491 % 
3: Transactions TOTAL:307855, OK:100810, -> 32.74593558655861 % 
4: Transactions TOTAL:307836, OK:99925, -> 32.46046596239556 % 

1: Transactions TOTAL:201073, OK:58232, -> 28.960626240221213 % 
2: Transactions TOTAL:201294, OK:58500, -> 29.06196906018063 % 
3: Transactions TOTAL:201110, OK:58602, -> 29.13927701258018 % 
4: Transactions TOTAL:200836, OK:57929, -> 28.843932362723816 % 

1: Transactions TOTAL:159859, OK:43844, -> 27.426669752719583 % 
2: Transactions TOTAL:159997, OK:44656, -> 27.910523322312294 % 
3: Transactions TOTAL:159865, OK:44037, -> 27.546367247364966 % 
4: Transactions TOTAL:159978, OK:44339, -> 27.715685906812187 % 

1: Transactions TOTAL:136122, OK:36762, -> 27.006655794067086 % 
2: Transactions TOTAL:136053, OK:36613, -> 26.91083621823848 % 
3: Transactions TOTAL:136049, OK:36425, -> 26.773441921660577 % 
4: Transactions TOTAL:136121, OK:36903, -> 27.11043850691664 % 

1: Transactions TOTAL:115754, OK:30991, -> 26.7731568671493 % 
2: Transactions TOTAL:115472, OK:30170, -> 26.127546071774976 % 
3: Transactions TOTAL:115795, OK:30848, -> 26.640183082171077 % 
4: Transactions TOTAL:115727, OK:30578, -> 26.422528882628946 % 

1: Transactions TOTAL:97753, OK:25457, -> 26.042167503810624 % 
2: Transactions TOTAL:97737, OK:25988, -> 26.58972548778866 % 
3: Transactions TOTAL:97934, OK:25924, -> 26.470888557600016 % 
4: Transactions TOTAL:97749, OK:25485, -> 26.071877973176196 % 

1: Transactions TOTAL:94072, OK:24319, -> 25.851475465600817 % 
2: Transactions TOTAL:93981, OK:24035, -> 25.57431821325587 % 
3: Transactions TOTAL:93911, OK:24420, -> 26.00334359127259 % 
4: Transactions TOTAL:93993, OK:24596, -> 26.16790612066856 % 

1: Transactions TOTAL:85142, OK:21993, -> 25.830964741255784 % 
2: Transactions TOTAL:85148, OK:22080, -> 25.93131958472307 % 
3: Transactions TOTAL:84967, OK:22103, -> 26.01362882060094 % 
4: Transactions TOTAL:85083, OK:21780, -> 25.598533196995874 % 

1: Transactions TOTAL:77874, OK:20054, -> 25.75185556154814 % 
2: Transactions TOTAL:77654, OK:20080, -> 25.858294485795966 % 
3: Transactions TOTAL:77614, OK:19756, -> 25.45417063931765 % 
4: Transactions TOTAL:77810, OK:20143, -> 25.887418069656857 % 

1: Transactions TOTAL:73035, OK:18380, -> 25.166016293557885 % 
2: Transactions TOTAL:73127, OK:18654, -> 25.509045906436747 % 
3: Transactions TOTAL:73178, OK:18931, -> 25.869796933504606 % 
4: Transactions TOTAL:73245, OK:18939, -> 25.85705508908458 % 

1: Transactions TOTAL:68418, OK:17244, -> 25.203893712181006 % 
2: Transactions TOTAL:68533, OK:17773, -> 25.93349189441583 % 
3: Transactions TOTAL:68539, OK:17643, -> 25.741548607362233 % 
4: Transactions TOTAL:68422, OK:17276, -> 25.24918885738505 % 

50 updates:
1: Transactions TOTAL:24049, OK:6193, -> 25.751590502723605 % 
2: Transactions TOTAL:24124, OK:6181, -> 25.621787431603384 % 
3: Transactions TOTAL:24088, OK:5963, -> 24.755064762537362 % 
4: Transactions TOTAL:24051, OK:6363, -> 26.4562804041412 % 

Exp4
Number of clients: 4
Number of entries: 10
Number of updates per transaction: 4
Ratio between read/write: 0.1 0.143 0.2 0.25 0.33 0.5 1 2 3 4 5 7 10
Time: 10s


